PdName,Category,Material,Manufacturer,Certifications,Price,Sustainability Features,Country of Origin,id,content
Recycled Aluminum Foil v1,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.55,"Recyclable, Recycled",USA,PD20,"Recycled Aluminum Foil v1 Kitchenware Recycled Aluminum EcoFoil Recycled Recyclable, Recycled USA"
Bamboo Toothbrush v2,Oral Care,Bamboo,EcoBrush,FSC Certified,3.74,"Biodegradable, Recyclable",China,PD21,"Bamboo Toothbrush v2 Oral Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Clay Pot v2,Kitchenware,Clay,EarthPottery,Handmade,14.69,"Biodegradable, Handmade",India,PD22,"Clay Pot v2 Kitchenware Clay EarthPottery Handmade Biodegradable, Handmade India"
Reusable Bamboo Coffee Cup v2,Drinkware,Bamboo,GreenCup,FSC Certified,13.64,"Biodegradable, Reusable",China,PD23,"Reusable Bamboo Coffee Cup v2 Drinkware Bamboo GreenCup FSC Certified Biodegradable, Reusable China"
Cotton Kitchen Sponge v2,Cleaning Supplies,Cotton,EcoSponge,Organic,7.34,"Biodegradable, Organic",USA,PD24,"Cotton Kitchen Sponge v2 Cleaning Supplies Cotton EcoSponge Organic Biodegradable, Organic USA"
Bamboo Cutlery Set v2,Cutlery,Bamboo,EcoUtensils,FSC Certified,10.69,"Biodegradable, Reusable",China,PD25,"Bamboo Cutlery Set v2 Cutlery Bamboo EcoUtensils FSC Certified Biodegradable, Reusable China"
Organic Cotton T-Shirt v2,Clothing,Organic Cotton,GreenWear,GOTS Certified,27.41,"Organic, Biodegradable",India,PD26,"Organic Cotton T-Shirt v2 Clothing Organic Cotton GreenWear GOTS Certified Organic, Biodegradable India"
Recycled Paper Notebook v2,Stationery,Recycled Paper,EcoNotes,Recycled,5.09,"Recyclable, Recycled",USA,PD27,"Recycled Paper Notebook v2 Stationery Recycled Paper EcoNotes Recycled Recyclable, Recycled USA"
Stainless Steel Water Bottle v2,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.5,"Reusable, Recyclable",China,PD28,"Stainless Steel Water Bottle v2 Drinkware Stainless Steel EcoBottle BPA Free Reusable, Recyclable China"
Hemp Backpack v2,Bags,Hemp,EcoBag,Fair Trade,49.42,"Biodegradable, Durable",Nepal,PD29,"Hemp Backpack v2 Bags Hemp EcoBag Fair Trade Biodegradable, Durable Nepal"
Solar Powered Lantern v2,Lighting,Plastic,GreenLight,Energy Star,30.44,"Energy Efficient, Renewable Energy",China,PD30,"Solar Powered Lantern v2 Lighting Plastic GreenLight Energy Star Energy Efficient, Renewable Energy China"
Bamboo Charcoal Air Purifier v2,Home Goods,Bamboo,FreshAir,Natural,9.16,"Biodegradable, Reusable",China,PD31,"Bamboo Charcoal Air Purifier v2 Home Goods Bamboo FreshAir Natural Biodegradable, Reusable China"
Compostable Trash Bags v2,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,7.51,"Compostable, Biodegradable",USA,PD32,"Compostable Trash Bags v2 Cleaning Supplies Compostable Plastic GreenBags Compostable Compostable, Biodegradable USA"
Cork Yoga Mat v2,Fitness,Cork,EcoFit,Natural,53.43,"Biodegradable, Natural",Portugal,PD33,"Cork Yoga Mat v2 Fitness Cork EcoFit Natural Biodegradable, Natural Portugal"
Recycled Plastic Sunglasses v2,Accessories,Recycled Plastic,EcoShades,Recycled,33.41,"Recycled, Recyclable",Italy,PD34,"Recycled Plastic Sunglasses v2 Accessories Recycled Plastic EcoShades Recycled Recycled, Recyclable Italy"
Organic Wool Blanket v2,Home Goods,Organic Wool,EcoWarm,GOTS Certified,63.19,"Organic, Biodegradable",New Zealand,PD35,"Organic Wool Blanket v2 Home Goods Organic Wool EcoWarm GOTS Certified Organic, Biodegradable New Zealand"
Bamboo Hair Brush v2,Personal Care,Bamboo,EcoBrush,FSC Certified,7.36,"Biodegradable, Recyclable",China,PD36,"Bamboo Hair Brush v2 Personal Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Natural Loofah v2,Personal Care,Loofah,EcoBath,Natural,5.42,"Biodegradable, Natural",Thailand,PD37,"Natural Loofah v2 Personal Care Loofah EcoBath Natural Biodegradable, Natural Thailand"
Reusable Cloth Diapers v2,Baby Care,Cotton,EcoBaby,Organic,20.94,"Reusable, Organic",India,PD38,"Reusable Cloth Diapers v2 Baby Care Cotton EcoBaby Organic Reusable, Organic India"
Beeswax Food Wraps v2,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,13.95,"Biodegradable, Reusable",USA,PD39,"Beeswax Food Wraps v2 Kitchenware Cotton and Beeswax EcoWraps Organic Biodegradable, Reusable USA"
Recycled Aluminum Foil v2,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.44,"Recyclable, Recycled",USA,PD40,"Recycled Aluminum Foil v2 Kitchenware Recycled Aluminum EcoFoil Recycled Recyclable, Recycled USA"
Bamboo Toothbrush v3,Oral Care,Bamboo,EcoBrush,FSC Certified,3.69,"Biodegradable, Recyclable",China,PD41,"Bamboo Toothbrush v3 Oral Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Clay Pot v3,Kitchenware,Clay,EarthPottery,Handmade,15.82,"Biodegradable, Handmade",India,PD42,"Clay Pot v3 Kitchenware Clay EarthPottery Handmade Biodegradable, Handmade India"
Reusable Bamboo Coffee Cup v3,Drinkware,Bamboo,GreenCup,FSC Certified,11.56,"Biodegradable, Reusable",China,PD43,"Reusable Bamboo Coffee Cup v3 Drinkware Bamboo GreenCup FSC Certified Biodegradable, Reusable China"
Cotton Kitchen Sponge v3,Cleaning Supplies,Cotton,EcoSponge,Organic,8.23,"Biodegradable, Organic",USA,PD44,"Cotton Kitchen Sponge v3 Cleaning Supplies Cotton EcoSponge Organic Biodegradable, Organic USA"
Bamboo Cutlery Set v3,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.04,"Biodegradable, Reusable",China,PD45,"Bamboo Cutlery Set v3 Cutlery Bamboo EcoUtensils FSC Certified Biodegradable, Reusable China"
Organic Cotton T-Shirt v3,Clothing,Organic Cotton,GreenWear,GOTS Certified,25.19,"Organic, Biodegradable",India,PD46,"Organic Cotton T-Shirt v3 Clothing Organic Cotton GreenWear GOTS Certified Organic, Biodegradable India"
Recycled Paper Notebook v3,Stationery,Recycled Paper,EcoNotes,Recycled,5.01,"Recyclable, Recycled",USA,PD47,"Recycled Paper Notebook v3 Stationery Recycled Paper EcoNotes Recycled Recyclable, Recycled USA"
Stainless Steel Water Bottle v3,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.37,"Reusable, Recyclable",China,PD48,"Stainless Steel Water Bottle v3 Drinkware Stainless Steel EcoBottle BPA Free Reusable, Recyclable China"
Hemp Backpack v3,Bags,Hemp,EcoBag,Fair Trade,48.23,"Biodegradable, Durable",Nepal,PD49,"Hemp Backpack v3 Bags Hemp EcoBag Fair Trade Biodegradable, Durable Nepal"
Solar Powered Lantern v3,Lighting,Plastic,GreenLight,Energy Star,31.4,"Energy Efficient, Renewable Energy",China,PD50,"Solar Powered Lantern v3 Lighting Plastic GreenLight Energy Star Energy Efficient, Renewable Energy China"
Bamboo Charcoal Air Purifier v3,Home Goods,Bamboo,FreshAir,Natural,9.43,"Biodegradable, Reusable",China,PD51,"Bamboo Charcoal Air Purifier v3 Home Goods Bamboo FreshAir Natural Biodegradable, Reusable China"
Compostable Trash Bags v3,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.41,"Compostable, Biodegradable",USA,PD52,"Compostable Trash Bags v3 Cleaning Supplies Compostable Plastic GreenBags Compostable Compostable, Biodegradable USA"
Cork Yoga Mat v3,Fitness,Cork,EcoFit,Natural,49.83,"Biodegradable, Natural",Portugal,PD53,"Cork Yoga Mat v3 Fitness Cork EcoFit Natural Biodegradable, Natural Portugal"
Recycled Plastic Sunglasses v3,Accessories,Recycled Plastic,EcoShades,Recycled,38.27,"Recycled, Recyclable",Italy,PD54,"Recycled Plastic Sunglasses v3 Accessories Recycled Plastic EcoShades Recycled Recycled, Recyclable Italy"
Organic Wool Blanket v3,Home Goods,Organic Wool,EcoWarm,GOTS Certified,54.94,"Organic, Biodegradable",New Zealand,PD55,"Organic Wool Blanket v3 Home Goods Organic Wool EcoWarm GOTS Certified Organic, Biodegradable New Zealand"
Bamboo Hair Brush v3,Personal Care,Bamboo,EcoBrush,FSC Certified,7.93,"Biodegradable, Recyclable",China,PD56,"Bamboo Hair Brush v3 Personal Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Natural Loofah v3,Personal Care,Loofah,EcoBath,Natural,5.94,"Biodegradable, Natural",Thailand,PD57,"Natural Loofah v3 Personal Care Loofah EcoBath Natural Biodegradable, Natural Thailand"
Reusable Cloth Diapers v3,Baby Care,Cotton,EcoBaby,Organic,21.85,"Reusable, Organic",India,PD58,"Reusable Cloth Diapers v3 Baby Care Cotton EcoBaby Organic Reusable, Organic India"
Beeswax Food Wraps v3,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,14.99,"Biodegradable, Reusable",USA,PD59,"Beeswax Food Wraps v3 Kitchenware Cotton and Beeswax EcoWraps Organic Biodegradable, Reusable USA"
Recycled Aluminum Foil v3,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.96,"Recyclable, Recycled",USA,PD60,"Recycled Aluminum Foil v3 Kitchenware Recycled Aluminum EcoFoil Recycled Recyclable, Recycled USA"
Bamboo Toothbrush v4,Oral Care,Bamboo,EcoBrush,FSC Certified,4.08,"Biodegradable, Recyclable",China,PD61,"Bamboo Toothbrush v4 Oral Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Clay Pot v4,Kitchenware,Clay,EarthPottery,Handmade,14.96,"Biodegradable, Handmade",India,PD62,"Clay Pot v4 Kitchenware Clay EarthPottery Handmade Biodegradable, Handmade India"
Reusable Bamboo Coffee Cup v4,Drinkware,Bamboo,GreenCup,FSC Certified,13.01,"Biodegradable, Reusable",China,PD63,"Reusable Bamboo Coffee Cup v4 Drinkware Bamboo GreenCup FSC Certified Biodegradable, Reusable China"
Cotton Kitchen Sponge v4,Cleaning Supplies,Cotton,EcoSponge,Organic,8.16,"Biodegradable, Organic",USA,PD64,"Cotton Kitchen Sponge v4 Cleaning Supplies Cotton EcoSponge Organic Biodegradable, Organic USA"
Bamboo Cutlery Set v4,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.32,"Biodegradable, Reusable",China,PD65,"Bamboo Cutlery Set v4 Cutlery Bamboo EcoUtensils FSC Certified Biodegradable, Reusable China"
Organic Cotton T-Shirt v4,Clothing,Organic Cotton,GreenWear,GOTS Certified,23.61,"Organic, Biodegradable",India,PD66,"Organic Cotton T-Shirt v4 Clothing Organic Cotton GreenWear GOTS Certified Organic, Biodegradable India"
Recycled Paper Notebook v4,Stationery,Recycled Paper,EcoNotes,Recycled,4.86,"Recyclable, Recycled",USA,PD67,"Recycled Paper Notebook v4 Stationery Recycled Paper EcoNotes Recycled Recyclable, Recycled USA"
Stainless Steel Water Bottle v4,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.27,"Reusable, Recyclable",China,PD68,"Stainless Steel Water Bottle v4 Drinkware Stainless Steel EcoBottle BPA Free Reusable, Recyclable China"
Hemp Backpack v4,Bags,Hemp,EcoBag,Fair Trade,47.3,"Biodegradable, Durable",Nepal,PD69,"Hemp Backpack v4 Bags Hemp EcoBag Fair Trade Biodegradable, Durable Nepal"
Solar Powered Lantern v4,Lighting,Plastic,GreenLight,Energy Star,32.11,"Energy Efficient, Renewable Energy",China,PD70,"Solar Powered Lantern v4 Lighting Plastic GreenLight Energy Star Energy Efficient, Renewable Energy China"
Bamboo Charcoal Air Purifier v4,Home Goods,Bamboo,FreshAir,Natural,9.6,"Biodegradable, Reusable",China,PD71,"Bamboo Charcoal Air Purifier v4 Home Goods Bamboo FreshAir Natural Biodegradable, Reusable China"
Compostable Trash Bags v4,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,7.69,"Compostable, Biodegradable",USA,PD72,"Compostable Trash Bags v4 Cleaning Supplies Compostable Plastic GreenBags Compostable Compostable, Biodegradable USA"
Cork Yoga Mat v4,Fitness,Cork,EcoFit,Natural,53.96,"Biodegradable, Natural",Portugal,PD73,"Cork Yoga Mat v4 Fitness Cork EcoFit Natural Biodegradable, Natural Portugal"
Recycled Plastic Sunglasses v4,Accessories,Recycled Plastic,EcoShades,Recycled,35.85,"Recycled, Recyclable",Italy,PD74,"Recycled Plastic Sunglasses v4 Accessories Recycled Plastic EcoShades Recycled Recycled, Recyclable Italy"
Organic Wool Blanket v4,Home Goods,Organic Wool,EcoWarm,GOTS Certified,62.82,"Organic, Biodegradable",New Zealand,PD75,"Organic Wool Blanket v4 Home Goods Organic Wool EcoWarm GOTS Certified Organic, Biodegradable New Zealand"
Bamboo Hair Brush v4,Personal Care,Bamboo,EcoBrush,FSC Certified,7.07,"Biodegradable, Recyclable",China,PD76,"Bamboo Hair Brush v4 Personal Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Natural Loofah v4,Personal Care,Loofah,EcoBath,Natural,4.97,"Biodegradable, Natural",Thailand,PD77,"Natural Loofah v4 Personal Care Loofah EcoBath Natural Biodegradable, Natural Thailand"
Reusable Cloth Diapers v4,Baby Care,Cotton,EcoBaby,Organic,20.98,"Reusable, Organic",India,PD78,"Reusable Cloth Diapers v4 Baby Care Cotton EcoBaby Organic Reusable, Organic India"
Beeswax Food Wraps v4,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,15.77,"Biodegradable, Reusable",USA,PD79,"Beeswax Food Wraps v4 Kitchenware Cotton and Beeswax EcoWraps Organic Biodegradable, Reusable USA"
Recycled Aluminum Foil v4,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.58,"Recyclable, Recycled",USA,PD80,"Recycled Aluminum Foil v4 Kitchenware Recycled Aluminum EcoFoil Recycled Recyclable, Recycled USA"
Bamboo Toothbrush v5,Oral Care,Bamboo,EcoBrush,FSC Certified,4.16,"Biodegradable, Recyclable",China,PD81,"Bamboo Toothbrush v5 Oral Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Clay Pot v5,Kitchenware,Clay,EarthPottery,Handmade,15.09,"Biodegradable, Handmade",India,PD82,"Clay Pot v5 Kitchenware Clay EarthPottery Handmade Biodegradable, Handmade India"
Reusable Bamboo Coffee Cup v5,Drinkware,Bamboo,GreenCup,FSC Certified,13.6,"Biodegradable, Reusable",China,PD83,"Reusable Bamboo Coffee Cup v5 Drinkware Bamboo GreenCup FSC Certified Biodegradable, Reusable China"
Cotton Kitchen Sponge v5,Cleaning Supplies,Cotton,EcoSponge,Organic,8.71,"Biodegradable, Organic",USA,PD84,"Cotton Kitchen Sponge v5 Cleaning Supplies Cotton EcoSponge Organic Biodegradable, Organic USA"
Bamboo Cutlery Set v5,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.05,"Biodegradable, Reusable",China,PD85,"Bamboo Cutlery Set v5 Cutlery Bamboo EcoUtensils FSC Certified Biodegradable, Reusable China"
Organic Cotton T-Shirt v5,Clothing,Organic Cotton,GreenWear,GOTS Certified,26.5,"Organic, Biodegradable",India,PD86,"Organic Cotton T-Shirt v5 Clothing Organic Cotton GreenWear GOTS Certified Organic, Biodegradable India"
Recycled Paper Notebook v5,Stationery,Recycled Paper,EcoNotes,Recycled,5.18,"Recyclable, Recycled",USA,PD87,"Recycled Paper Notebook v5 Stationery Recycled Paper EcoNotes Recycled Recyclable, Recycled USA"
Stainless Steel Water Bottle v5,Drinkware,Stainless Steel,EcoBottle,BPA Free,20.62,"Reusable, Recyclable",China,PD88,"Stainless Steel Water Bottle v5 Drinkware Stainless Steel EcoBottle BPA Free Reusable, Recyclable China"
Hemp Backpack v5,Bags,Hemp,EcoBag,Fair Trade,43.63,"Biodegradable, Durable",Nepal,PD89,"Hemp Backpack v5 Bags Hemp EcoBag Fair Trade Biodegradable, Durable Nepal"
Solar Powered Lantern v5,Lighting,Plastic,GreenLight,Energy Star,30.14,"Energy Efficient, Renewable Energy",China,PD90,"Solar Powered Lantern v5 Lighting Plastic GreenLight Energy Star Energy Efficient, Renewable Energy China"
Bamboo Charcoal Air Purifier v5,Home Goods,Bamboo,FreshAir,Natural,10.54,"Biodegradable, Reusable",China,PD91,"Bamboo Charcoal Air Purifier v5 Home Goods Bamboo FreshAir Natural Biodegradable, Reusable China"
Compostable Trash Bags v5,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.22,"Compostable, Biodegradable",USA,PD92,"Compostable Trash Bags v5 Cleaning Supplies Compostable Plastic GreenBags Compostable Compostable, Biodegradable USA"
Cork Yoga Mat v5,Fitness,Cork,EcoFit,Natural,46.07,"Biodegradable, Natural",Portugal,PD93,"Cork Yoga Mat v5 Fitness Cork EcoFit Natural Biodegradable, Natural Portugal"
Recycled Plastic Sunglasses v5,Accessories,Recycled Plastic,EcoShades,Recycled,38.14,"Recycled, Recyclable",Italy,PD94,"Recycled Plastic Sunglasses v5 Accessories Recycled Plastic EcoShades Recycled Recycled, Recyclable Italy"
Organic Wool Blanket v5,Home Goods,Organic Wool,EcoWarm,GOTS Certified,61.16,"Organic, Biodegradable",New Zealand,PD95,"Organic Wool Blanket v5 Home Goods Organic Wool EcoWarm GOTS Certified Organic, Biodegradable New Zealand"
Bamboo Hair Brush v5,Personal Care,Bamboo,EcoBrush,FSC Certified,7.92,"Biodegradable, Recyclable",China,PD96,"Bamboo Hair Brush v5 Personal Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Natural Loofah v5,Personal Care,Loofah,EcoBath,Natural,5.99,"Biodegradable, Natural",Thailand,PD97,"Natural Loofah v5 Personal Care Loofah EcoBath Natural Biodegradable, Natural Thailand"
Reusable Cloth Diapers v5,Baby Care,Cotton,EcoBaby,Organic,19.1,"Reusable, Organic",India,PD98,"Reusable Cloth Diapers v5 Baby Care Cotton EcoBaby Organic Reusable, Organic India"
Beeswax Food Wraps v5,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,13.99,"Biodegradable, Reusable",USA,PD99,"Beeswax Food Wraps v5 Kitchenware Cotton and Beeswax EcoWraps Organic Biodegradable, Reusable USA"
Recycled Aluminum Foil v5,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.55,"Recyclable, Recycled",USA,PD100,"Recycled Aluminum Foil v5 Kitchenware Recycled Aluminum EcoFoil Recycled Recyclable, Recycled USA"
